V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,A,A1,A2,A3,A4,A5,A6,A7,A7.1,A8,A0,A1.0,A2.0,A3.0,A4.0,A5.0,A6.0,A7.0,A8.0,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A0.0,A1.1,A2.1,A3.1,A4.1,A5.1,A6.1,A7.2,A8.1,A9.0,A10.0,A11.0,A12.0,A13.0,A14.0,A15.0,A0.1,A1.2,A2.2,A3.2,A4.2,A5.2,A6.2,A7.3,A8.2,A9.1,A10.1,LocationLatitude,LocationLongitude,LocationAccuracy
R_eRQHVYmxnt3K0vz,Default Response Set,Anonymous, , ,129.118.33.230,0,10/22/2012,10/22/2012,1,1,2,20,2,14,1,1,2,3,92,1,2,3,1,1,1,1,1,2,3,3,4,1,1,1,3,4,3,3,2,3,3,2,2,4,4,10,1,2,2,2,2,2,3,2,2,3,2,2,2,1,1,1,1,3,2,3,3,4,4,2,3,2,2, , ,-1
R_bynD6ab0nmPKWKV,Default Response Set,Anonymous, , ,129.118.238.247,0,10/22/2012,10/22/2012,1,1,1,27,3,14 months,1,1,2,1,internet based total 82,1,3,3,1,1,1,1,2,3,3,3,3,1,1,1,2,3,3,3,1,2,1,5,3,5,5,1,1,1,1,2,3,2,2,2,2,2,1,2,2,1,1,1,1,1,1,3,3,3,2,3,3,3,4, , ,-1
R_eznsL7BHBy4FIZn,Default Response Set,Anonymous, , ,210.6.147.11,0,10/22/2012,10/22/2012,1,1,1,29,2,18 months,1,1,2,2,I didn't take TOFEL,1,3,2,1,1,1,1,2,2,2,2,3,1,1,1,1,2,3,3,3,3,1,3,3,5,3,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,2,3,2,4,3,3,3,3,2, , ,-1
R_b3llaD1RdaRvsEd,Default Response Set,Anonymous, , ,129.118.195.165,0,10/22/2012,10/22/2012,1,1,2,adult,3,14,2,1,2,1,89,1,3,2,2,2,2,1,1,3,3,3,3,1,1,1,3,3,3,2,2,2,1,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,1,1,1,3,3,4,3,3,3,3,3,3, , ,-1
R_7PBovPAlcy06QcZ,Default Response Set,Anonymous, , ,129.118.43.136,0,10/22/2012,10/22/2012,1,1,2,25,3,24,1,2,2,2,100,1,3,2,3,1,1,1,1,3,2,2,3,1,1,1,3,3,3,2,2,2,2,4,4,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,3,3,3,3,3, , ,-1
R_23wgqFtRLxN6ZcF,Default Response Set,Anonymous, , ,129.118.129.39,0,10/22/2012,10/22/2012,1,1,1,23,3,14,1,1,2,1,97,1,3,3,1,1,1,1,1,4,4,3,4,1,1,1,1,2,2,2,2,1,3,4,2,3,4,1,1,3,3,2,2,2,3,2,3,2,3,2,3,1,1,1,1,1,3,2,3,4,3,3,4,3,3, , ,-1
R_08O6JgosuZ5PI7b,Default Response Set,Anonymous, , ,129.118.186.53,0,10/22/2012,10/22/2012,1,1,1,24,2,3yrs,1,2,1, ,78,1,2,1,1,1,1,1,1,2,3,3,3,1,1,1,3,3,2,2,1,3,2,5,3,3,3,7,1,1,3,1,1,1,1,1,3,1,2,2,1,1,1,1,1,3,3,4,4,3,1,1,4,4,4, , ,-1
R_39RfTO1NjD95Jzf,Default Response Set,Anonymous, , ,129.118.253.221,0,10/22/2012,10/22/2012,1,1,2,29,3,38,1,2,2,3,213,1,3,3,1,1,1,1,1,5,4,3,3,1,1,1,3,3,2,2,4,3,4,3,3,3,4,1,1,2,2,1,4,1,3,2,2,3,3,4,2,1,1,1,1,4,1,3,4,3,3,2,1,1,2, , ,-1
R_9FGUpNbi8i0wwQJ,Default Response Set,Anonymous, , ,129.118.232.155,0,10/22/2012,10/22/2012,1,1,2,24,2,23,1,2,1, ,79,1,2,2,1,1,1,1,1,3,4,3,3,1,1,1,2,3,2,2,2,1,1,3,4,3,2,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,1,1,1,2,3,3,3,3,3,3,3,3, , ,-1
R_39SOe4XuIlKL8BD,Default Response Set,Anonymous, , ,129.118.69.226,0,10/22/2012,10/22/2012,1,1,2,24,2,14,1,1,2,1,79-95,1,2,2,1,1,1,1,1,2,3,2,4,1,1,1,2,2,3,2,4,2,3,3,3,3,3,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,4,3,2,2,3,2,3, , ,-1
R_2ifm2NvRWAoVkPz,Default Response Set,Anonymous, , ,129.118.235.194,0,10/22/2012,10/22/2012,1,1,1,23,3,14,1,2,2,1,90,1,2,2,1,1,1,1,1,2,2,3,4,1,1,1,2,3,2,2,2,1,2,3,3,3,2,1,1,1,2,2,2,3,3,2,2,3,2,2,3,1,1,1,1,3,3,2,3,3,2,3,3,2,3, , ,-1
R_086DOJCRtHkYd8x,Default Response Set,Anonymous, , ,173.219.185.3,0,10/22/2012,10/22/2012,1,1,1,21,1,108,1,2,2,3,96,1,3,3,1,1,1,1,4,4,4,3,3,1,3,1,2,3,3,3,1,1,1,5,4,4,3,1,1,1,1,2,1,2,2,2,2,1,2,2,2,1,1,1,1,3,2,3,3,3,4,3,2,2,3, , ,-1
R_37qzrTbEIJTqzLn,Default Response Set,Anonymous, , ,129.118.202.154,0,10/22/2012,10/22/2012,1,1,1,27,3,15,1,2,2,1,81,1,3,3,1,1,1,1,1,4,3,2,4,1,1,1,2,3,2,2,2,1,2,5,2,4,3,1,1,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,2,3,2,3,3, , ,-1
R_b9l1vvF4HW2Vegl,Default Response Set,Anonymous, , ,129.118.20.36,0,10/22/2012,10/22/2012,1,1,1,32,3,84,1,2,2,1,  590-637,1,3,3,1,1,1,1,1,2,3,2,3,1,1,1,2,2,3,3,1,2,1,5,3,5,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,4,3,3,3,3,3,3, , ,-1
R_6rEIew7UXyFwG9v,Default Response Set,Anonymous, , ,129.118.235.196,0,10/22/2012,10/22/2012,1,1,1,26,3,8 months,1,1,2,1,79-95,1,2,3,1,1,1,1,1,1,2,3,3,1,1,1,1,1,3,2,3,2,3,4,4,3,3,1,1,2,2,3,3,3,3,2,3,3,2,2,2,1,1,1,1,3,2,3,3,3,3,3,3,3,3, , ,-1
R_6YdTSfdfcJ0M6r3,Default Response Set,Anonymous, , ,129.118.14.25,0,10/22/2012,10/22/2012,1,1,2,25,3,14 months,1,2,2,1,85,1,2,4,1,1,2,1,1,1,3,3,5,1,1,1,3,3,5,3,1,2,4,4,2,4,2,1,1,1,2,1,1,1,1,1,3,1,4,2,1,1,1,1,1,1,4,4,2,2,1,1,1,2,4, , ,-1
R_9pFRvXkpAlMtsHP,Default Response Set,Anonymous, , ,75.111.51.68,0,10/22/2012,10/22/2012,1,1,1,23,2,1year,1,2,2,3,88,1,3,3,2,2,2,1,1,3,3,4,3,1,1,1,2,2,2,2,4,2,4,3,3,4,3,1,1,2,3,2,3,3,3,3,3,3,2,2,3,1,1,1,1,2,3,3,2,2,3,2,2,2,4, , ,-1
R_b7vFBvgU0dEz3Ol,Default Response Set,Anonymous, , ,108.242.222.35,0,10/22/2012,10/22/2012,1,1,1,23,3,3,1,1,2,1,100,1,2,2,1,1,1,1,1,2,2,3,3,1,1,1,1,2,2,2,3,1,1,3,3,3,3,1,1,2,3,2,2,2,3,2,2,2,2,2,2,1,1,1,1,2,3,2,3,3,3,3,3,3,3, , ,-1
R_7ZC5e1bho8ZHgs5,Default Response Set,Anonymous, , ,128.206.18.231,0,10/22/2012,10/22/2012,1,1,2,22,2,14,1,2,2,2,100,1,2,2,2,2,2,1,1,2,3,3,3,1,1,1,1,2,2,3,4,1,3,3,2,3,2,1,1,3,3,2,1,2,1,2,2,3,3,2,2,1,1,1,1,2,3,2,3,3,3,3,3,3,3, , ,-1
R_eyxtDhvqdHBoSUJ,Default Response Set,Anonymous, , ,129.118.122.161,0,10/22/2012,10/22/2012,1,1,1,25,3,60,2,1,2,1,80,1,2,3,2,2,1,1,1,3,3,4,4,6,1,1,2,1,3,3,2,3,3,2,3,3,3,1,1,2,2,3,2,3,3,2,2,3,2,3,2,1,1,1,1,3,2,2,2,3,3,2,2,2,3, , ,-1
R_380ioLV7lhxbCgR,Default Response Set,Anonymous, , ,166.147.66.210,0,10/22/2012,10/22/2012,1,1,1,28,3,50,1,2,2,1,240,1,3,3,1,1,1,1,1,4,3,3,3,1,1,1,2,3,3,3,1,1,2,5,3,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,3,2,2,3,2,3, , ,-1
R_byMxoetafeJ8RM1,Default Response Set,Anonymous, , ,75.111.193.187,0,10/22/2012,10/22/2012,1,1,2,29,3,34,1,2,1, ,111,1,2,3,1,1,1,1,1,2,3,1,3,1,1,1,1,2,2,2,2,3,5,2,2,2,2,1,1,1,3,1,3,1,3,2,1,2,4,3,1,1,1,1,1,1,2,2,3,4,3,3,2,2,3, , ,-1
R_e2sbaORtgPSUZX7,Default Response Set,Anonymous, , ,129.118.216.114,0,10/22/2012,10/22/2012,1,1,1,27,3,50,1,2,2,1,99,1,2,1,1,1,1,1,1,4,5,3,4,1,1,1,1,3,2,2,3,3,2,3,3,5,5,1,1,1,2,2,1,2,2,2,2,3,2,2,3,1,1,1,1,3,2,3,3,3,2,3,3,3,3, , ,-1
R_cNlATYm2cAZMSKV,Default Response Set,Anonymous, , ,129.118.217.199,0,10/22/2012,10/22/2012,1,1,1,29,3,27,2,2,2,1,96-110,1,2,3,2,2,2,1,1,1,3,2,4,1,1,1,1,2,2,2,2,1,2,3,3,4,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,3,2,3,3,3,2,2,3,2,3, , ,-1
R_3merNkl8h4BSTIx,Default Response Set,Anonymous, , ,129.118.20.76,0,10/22/2012,10/22/2012,1,1,1,25,3,27,1,2,2,1,95,1,2,2,1,1,1,1,1,2,1,1,3,1,1,1,2,2,2,2,2,1,2,3,3,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,3,3,3,2, , ,-1
R_eSe7W8M8ndG9TQp,Default Response Set,Anonymous, , ,129.118.239.81,0,10/22/2012,10/22/2012,1,1,2,24,3,24,1,2,2,1,104,1,3,2,2,2,2,1,1,3,3,3,4,6,1,1,3,4,3,2,2,2,3,3,3,3,4,1,1,3,3,2,2,2,3,2,3,2,3,2,2,1,1,1,1,3,2,3,2,3,3,3,3,3,3, , ,-1
R_4YZlG3OKXaJPtwp,Default Response Set,Anonymous, , ,75.111.196.55,0,10/22/2012,10/22/2012,1,1,2,26,2,24,2,2,2,1,79-95,1,2,4,1,1,1,1,1,2,3,3,3,1,1,1,2,3,4,2,4,1,2,3,3,5,3,1,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,3,1,3,2,3,2,3, , ,-1
R_9pKmKaDc5sYnXud,Default Response Set,Anonymous, , ,174.62.233.197,0,10/22/2012,10/22/2012,1,1,2,28,2,60,1,1,1, ,550-587,1,2,2,2,2,2,1,1,3,3,3,3,1,2,1,2,2,2,2,1,2,3,3,3,3,3,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,3,3,2,2,2,3, , ,-1
R_bqGtrBbWuXQfGTz,Default Response Set,Anonymous, , ,108.225.66.188,0,10/22/2012,10/22/2012,1,1,2,25,2,63,1,3,2,1,never taken,1,3,1,2,2,2,1,1,2,3,3,3,1,1,1,2,2,2,2,2,2,3,3,3,3,3,1,1,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,4,2,3,3,3,3,2,3,2,2, , ,-1
R_9RfSoh9fXv5wU61,Default Response Set,Anonymous, , ,99.129.79.33,0,10/22/2012,10/22/2012,1,1,1,25,2,34,1,2,2,1,79-95,1,3,3,1,1,1,1,1,4,3,3,3,1,1,1,2,2,2,2,2,2,3,4,4,5,4,1,1,1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,1,3,2,2,3,3,2,3,3,4,4, , ,-1
R_6XqRU2qnka4Z0ih,Default Response Set,Anonymous, , ,208.180.255.67,0,10/22/2012,10/22/2012,1,1,1,25,3,25,2,1,2,2,84,1,2,3,2,1,1,1,1,1,4,3,3,1,1,1,3,3,2,2,3,1,2,3,1,3,3,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3, , ,-1
R_cNgVEIWDPFnEMkt,Default Response Set,Anonymous, , ,68.234.219.250,0,10/22/2012,10/22/2012,1,1,1,22,1,26,1,2,2,1,109,1,2,2,1,1,1,1,1,4,4,3,5,1,1,1,2,2,2,2,4,3,4,2,3,4,4,10,1,2,4,2,2,3,3,2,3,3,3,2,2,1,1,1,1,2,3,2,3,1,1,3,1,4,4, , ,-1
R_79RUewzi36yNRYh,Default Response Set,Anonymous, , ,128.123.161.96,0,10/22/2012,10/22/2012,1,1,1,25,2,3yr,1,1,2,2,71,1,2,1,2,2,2,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,3,5,3,3,2,1,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,3,2,3,3,3,3,3,3,4,3, , ,-1
R_3b1fDOwhHnf38b3,Default Response Set,Anonymous, , ,66.31.38.113,0,10/22/2012,10/22/2012,1,1,2,24,2,14,1,2,1, ,96,1,2,2,1,2,2,1,1,3,2,2,3,1,1,1,1,1,2,2,1,1,2,5,2,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,2,2,3,3,3, , ,-1
R_2ct47Zu3YQZLPN3,Default Response Set,Anonymous, , ,24.128.49.99,0,10/22/2012,10/22/2012,1,1,1,23,3,26,1,2,2,1,106,1,2,2,2,2,2,1,1,2,2,3,3,1,1,1,1,2,2,2,1,1,2,5,3,5,3,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,3,2,3,3,3,2,3,3,3, , ,-1
R_3rw4q8Mz2MbwGzP,Default Response Set,Anonymous, , ,67.65.238.48,0,10/22/2012,10/22/2012,1,1,2,33,3,39,2,1,2,3,86,1,3,2,1,1,1,1,1,1,2,3,4,1,1,1,1,2,2,2,3,1,1,3,3,4,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,2,3,3,3,3,3,3,3, , ,-1
R_9QYvtQe3wqp1z2R,Default Response Set,Anonymous, , ,75.111.51.68,0,10/22/2012,10/22/2012,1,1,2,23,2,19 months,1,1,2,3,didnt take this test,1,3,2,1,1,1,1,3,3,3,2,4,1,3,1,2,2,3,4,2,3,2,5,2,3,2,1,1,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,3,4, , ,-1
R_56Dw4V5g0MEn8gZ,Default Response Set,Anonymous, , ,174.62.233.197,0,10/22/2012,10/22/2012,1,1,1,3,3,24 months,1,2,2,1,609,1,2,2,1,1,1,1,1,2,2,3,3,1,1,1,1,1,2,3,2,2,1,2,2,3,4,5,1,2,1,2,1,2,2,1,2,2,2,1,2,1,1,1,1,2,3,4,3,3,3,3,4,4,4, , ,-1
R_719LSBL64wublK5,Default Response Set,Anonymous, , ,208.180.255.67,0,10/22/2012,10/23/2012,1,1,1,29,3,46,2,2,2,3,79-95,1,3,2,1,1,1,1,1,2,2,2,4,6,1,1,2,3,3,4,2,1,1,4,3,5,3,1,1,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,4,3,2,3,3,4,3, , ,-1
R_e8QShg2IHncOuPz,Default Response Set,Anonymous, , ,69.65.204.9,0,10/23/2012,10/23/2012,1,1,2,21,1,2,1,2,2,1,81,1,2,2,1,1,1,1,1,2,2,4,3,1,1,1,3,1,2,2,1,1,3,3,4,5,5,1,1,2,3,2,3,1,1,1,2,1,2,1,1,1,1,1,1,4,1,4,4,4,3,2,2,2,4, , ,-1
R_cO659w1AOLUAVh3,Default Response Set,Anonymous, , ,208.180.255.67,0,10/23/2012,10/23/2012,1,1,2,28,2,38 months,2,2,2,1,87,1,2,3,1,1,1,1,1,2,3,3,3,1,1,1,1,2,3,3,2,1,3,3,3,3,3,1,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,2,2,3,3,3,3,2,3,3,3, , ,-1
R_3L8PChklOeYMC3P,Default Response Set,Anonymous, , ,222.175.103.71,0,10/23/2012,10/23/2012,1,1,1,25,2,zero months,1,1,2,3,0,1,2,2,2,2,2,1,1,1,1,2,4,6,1,1,1,1,2,2,1,1,1,3,4,3,3,7,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,3,2,3,2,3,3,2,3,2,3, , ,-1
R_emtB9T1UP57fovb,Default Response Set,Anonymous, , ,208.180.255.67,0,10/23/2012,10/23/2012,1,1,2,35,3,50,2,2,2,3,雅思6.5,1,2,2,2,2,2,1,1,2,3,2,3,1,1,1,2,4,2,2,2,1,2,3,3,5,2,1,1,2,2,2,1,2,3,2,2,3,3,2,3,1,1,1,1,4,2,2,3,4,3,3,3,4,4, , ,-1
R_d5O6wVOtkUl5i8B,Default Response Set,Anonymous, , ,222.175.103.34,0,10/23/2012,10/23/2012,1,1,1,22,2,Not yet,1,2,2,2,90,1,2,2,1,1,1,1,1,2,3,3,3,1,1,1,2,3,3,2,2,2,1,3,3,3,3,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,3,1,3,3,3,2,3, , ,-1
R_ebwfcucqan4PslT,Default Response Set,Anonymous, , ,222.175.103.99,0,10/23/2012,10/23/2012,1,1,1,25,3,0yr,1,2,2,2,65-120,1,3,4,1,1,1,1,1,1,3,3,3,1,1,1,1,1,3,1,4,2,1,3,1,3,3,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,3,2,3,3, , ,-1
R_38jdxIsKWB5UGNf,Default Response Set,Anonymous, , ,129.118.14.145,0,10/23/2012,10/23/2012,1,1,2,24,2,2yrs,1,1,2,1,84,1,3,2,2,1,1,1,1,3,4,3,3,6,1,1,2,2,2,2,2,3,2,2,3,3,4,5,1,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1,2,3,3,4,3,2,2,3,1,4, , ,-1
R_8oK404viFZ3U9V3,Default Response Set,Anonymous, , ,129.118.18.170,0,10/23/2012,10/23/2012,1,1,1,26,3,3 yrs,1,2,2,1,91,1,2,1,1,1,1,1,1,1,1,3,3,1,1,1,2,3,2,2,1,2,4,3,3,3,2,1,1,1,3,2,2,1,2,2,3,2,2,2,2,1,1,1,1,3,3,3,3,2,2,3,3,3,3, , ,-1
R_bOA1d15lmaL5CbX,Default Response Set,Anonymous, , ,222.175.103.36,0,10/23/2012,10/23/2012,1,1,2,25,2,0,1,2,2,3,65,1,2,1,2,2,2,1,1,1,2,2,2,6,1,5,2,2,2,2,2,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,3,2,2,3,3,3,3,3,3,3, , ,-1
R_9p2OxLFRKUttLTf,Default Response Set,Anonymous, , ,166.111.42.153,0,10/23/2012,10/23/2012,1,1,2,25,3,I've never been there,1,2,2,2,96-110,1,2,3,1,1,1,1,2,2,2,2,4,1,1,1,2,2,2,3,1,1,3,4,3,3,2,7,1,2,2,2,2,2,1,2,3,2,2,1,2,1,1,1,1,2,2,3,3,3,3,3,2,2,3, , ,-1
R_4G9mwEBzo7zURtr,Default Response Set,Anonymous, , ,75.111.196.55,0,10/24/2012,10/24/2012,1,1,1,27,3,28,2,2,2,1,79-95,1,2,2,2,2,2,1,1,3,3,3,3,1,1,1,2,3,2,2,2,1,2,3,2,4,2,1,1,2,2,1,2,2,2,2,3,2,2,2,2,1,1,1,1,3,2,3,3,3,2,2,3,3,3, , ,-1
R_dp8Eu9TOUghUhCZ,Default Response Set,Anonymous, , ,210.72.152.6,0,10/24/2012,10/24/2012,1,1,2,24,2,0,2,2,2,1,0,1,2,2,1,1,1,1,1,1,2,2,4,6,1,1,1,2,2,2,2,2,1,4,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,3,2,3,3,3,3,3, , ,-1
R_8Cvt2v1HMvh6Jwh,Default Response Set,Anonymous, , ,1.51.240.15,0,10/24/2012,10/24/2012,1,1,2,24,2,never be in the United States,1,1,2,3,have not taken part in the text,1,2,3,2,2,2,1,1,2,2,3,4,6,1,1,1,1,2,2,2,2,3,2,3,3,3,1,1,2,3,3,3,2,2,2,3,2,2,2,2,1,1,1,1,3,3,3,3,3,3,2,3,2,3, , ,-1
R_3UW8IfJQiYSXilv,Default Response Set,Anonymous, , ,113.128.225.76,0,10/24/2012,10/24/2012,1,1,2,23,1,0,1,3,2,1,70,1,2,2,1,1,1,1,1,2,3,3,4,1,2,1,2,2,2,2,1,1,2,3,3,3,5,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,1,3,3,4,3,2,3,4,3, , ,-1
R_5buhFut17L66f0V,Default Response Set,Anonymous, , ,74.196.205.64,0,10/24/2012,10/24/2012,1,1,2,25,2,3 yr,2,1,2,3,110,1,3,2,2,2,2,1,1,2,2,3,4,1,1,1,2,3,2,2,1,2,2,5,4,3,3,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,4,2,2,2,3,3,4, , ,-1
R_bI3QDHegafQskQt,Default Response Set,Anonymous, , ,124.135.176.99,0,10/25/2012,10/25/2012,1,1,1,24,3,35,1,2,2,1,82,1,3,3,1,1,1,1,1,2,3,3,3,1,1,1,1,2,2,3,1,1,3,3,3,5,4,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,3,3,2,2,3,3,4, , ,-1
R_5gNC0zh92uVx5hb,Default Response Set,Anonymous, , ,108.209.161.136,0,10/25/2012,10/25/2012,1,1,1,27,3,2,2,2,2,1,100,1,2,1,2,2,2,1,1,2,3,3,3,1,1,1,1,2,2,3,1,2,2,3,3,3,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,3,3,2,2,3,3,3,3, , ,-1
R_9FzxpWcaA4VWTZz,Default Response Set,Anonymous, , ,129.118.212.24,0,10/26/2012,10/26/2012,1,1,1,38,3,30,2,1,2,1,65-120,1,3,3,1,1,1,1,1,2,3,2,4,1,1,1,1,2,2,2,1,1,2,2,5,3,4,7,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,3,3,3,2,2,2,3,3, , ,-1
R_3BHbdhCQKgVYXkh,Default Response Set,Anonymous, , ,129.118.236.77,0,10/26/2012,10/26/2012,1,1,2,33,3,2months,2,2,2,3,550,1,3,2,1,1,1,1,1,1,3,4,3,6,1,1,2,2,2,2,3,2,2,3,4,3,3,1,1,2,3,2,2,3,2,2,2,3,2,3,3,1,1,1,1,2,3,3,3,3,3,3,3,2,3, , ,-1
