V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,Q2,Q20,1,2,3,Q89,Q90,1,2_1,2_2,3_1,3_2,4_1,4_2,5_1,5_2,6_1,6_2,7_1,7_2,8_1,8_2,9_1,9_2,10_1,10_2,11_1,11_2,12_1,12_2,13_1,13_2,14_1,14_2,15_1,15_2,16_1,16_2,17_1,17_2,18_1,18_2,,1_1,2_1,3_1,4_1,5_1,6_1,7_1,8_1,9_1,10_1,11_1,12_1,13_1,14_1,15_1,16_1,17_1,18_1,19_1,20_1,21_1,22_1,23_1,24_1,25_1,Q17,1,2,3,4,5,6,7,8,9,10,11,12,13,LocationLatitude,LocationLongitude,LocationAccuracy,
R_bCuhmIo3MNdzAX2,Default Response Set,Anonymous,,,144.96.164.231,0,2012-02-08 14:35:07,2012-02-08 14:37:25,1,1,,,1,4,5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_6QK97NMNUbLg6SU,Default Response Set,Anonymous,,,129.118.239.77,0,2012-02-08 14:47:05,2012-02-08 14:55:20,1,1,1,1,2,3,2,3,2,1,3,3,4,3,2,2,2,4,3,3,3,3,2,4,4,2,4,2,4,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,2,2,3,2,1,3,1,4,3,1,3,4,3,1,4,4,2,4,3,4,4,2,4,1,2,1,6,4,1,1,1,3,2,1,1,2,2,1,1,,,-1,
R_0NZ626zGJyGNa2U,Default Response Set,Anonymous,,,129.118.6.86,0,2012-02-08 15:41:38,2012-02-08 15:48:03,1,1,1,1,2,3,5,2,1,1,3,4,5,1,2,4,4,2,4,2,4,2,3,4,2,3,1,3,2,3,2,4,2,4,4,2,5,2,4,3,4,3,2,3,1,3,1,1,1,1,4,1,3,4,1,2,4,2,2,4,4,2,4,3,4,3,3,4,1,1,1,6,1,1,2,2,1,1,1,1,2,2,1,1,,,-1,
R_8dzCFMy7AJSZ6v2,Default Response Set,Anonymous,,,129.118.238.76,0,2012-02-08 15:01:44,2012-02-08 16:17:42,1,1,1,1,2,2,2,3,2,1,3,3,5,2,3,3,4,3,3,3,3,3,2,4,3,4,2,4,4,3,4,3,4,3,4,3,4,2,3,2,2,4,4,3,1,2,1,2,3,2,4,1,4,4,2,4,4,2,2,4,4,2,4,3,4,2,4,4,1,2,1,6,2,1,2,2,2,1,1,1,3,2,1,1,,,-1,
R_eQg7eKfD2CMHYBC,Default Response Set,Anonymous,,,117.136.6.69,0,2012-02-08 18:27:26,2012-02-08 18:37:08,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_80Nn1N1wHmY2O20,Default Response Set,Anonymous,,,70.238.216.111,0,2012-02-08 20:09:01,2012-02-08 20:22:45,1,1,1,1,2,3,1,,,1,4,3,5,2,4,3,4,2,4,2,5,4,3,4,4,2,4,3,4,2,4,4,4,4,4,2,4,2,4,2,4,2,4,2,1,3,3,3,3,3,3,2,3,3,1,3,3,3,3,3,3,2,4,3,3,3,3,3,2,2,1,6,4,1,1,1,1,1,1,1,4,3,2,1,,,-1,
R_6FjTrVneWXfrgmE,Default Response Set,Anonymous,,,129.118.2.99,0,2012-02-08 20:47:51,2012-02-08 20:53:02,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,-1,
R_8nM2ryerd20rKU4,Default Response Set,Anonymous,,,75.110.200.81,0,2012-02-08 22:53:16,2012-02-08 23:08:01,1,1,1,1,1,2,3,3,1,1,3,2,5,2,5,2,5,3,4,2,5,2,4,2,4,3,3,3,4,3,3,3,3,4,3,3,4,3,2,3,4,3,4,3,1,3,3,3,3,3,3,3,3,4,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,6,6,1,1,1,2,1,1,2,2,2,2,1,,,-1,
R_eXVJkbUpocXFrtq,Default Response Set,Anonymous,,,75.110.204.28,0,2012-02-08 22:59:20,2012-02-08 23:10:02,1,1,1,1,2,2,1,3,1,1,3,4,4,3,4,2,4,2,4,2,4,3,2,4,4,4,2,4,4,3,2,3,4,4,4,3,4,2,2,2,4,2,4,4,1,2,2,4,2,2,3,2,3,3,2,2,3,3,3,4,4,3,3,3,3,3,3,3,2,3,1,4,1,1,1,1,1,1,1,1,2,1,1,1,,,-1,
R_2topQJk62M2DQEc,Default Response Set,Anonymous,,,129.118.238.9,0,2012-02-09 09:37:12,2012-02-09 09:46:13,1,1,1,1,2,1,1,3,1,1,4,2,4,2,4,2,4,3,3,3,4,2,2,4,3,3,3,3,4,2,4,2,4,3,4,2,5,2,2,3,5,2,3,2,1,2,2,3,2,2,3,2,4,3,3,3,3,2,3,3,3,2,2,2,3,4,3,3,1,2,1,5,1,1,1,1,1,2,1,2,1,2,3,2,,,-1,
R_cILCHSTcV2XmYJu,Default Response Set,Anonymous,,,166.205.10.215,0,2012-02-09 09:45:36,2012-02-09 10:22:39,1,1,1,1,1,2,3,2,2,1,2,4,3,2,2,4,2,4,4,3,4,3,4,3,4,3,5,3,4,3,2,4,4,4,2,4,4,2,4,4,4,2,4,4,1,2,2,2,3,2,4,1,4,4,3,3,4,2,3,3,3,2,3,2,4,2,4,4,2,2,1,5,2,1,2,2,3,1,1,1,1,2,1,1,,,-1,
R_0rmK9l9IzyrMg8k,Default Response Set,Anonymous,,,99.171.231.68,0,2012-02-10 01:59:01,2012-02-10 02:18:43,1,1,1,1,2,5,5,3,2,1,4,2,5,2,4,2,4,1,4,3,3,3,4,2,4,4,1,5,3,3,2,5,2,3,4,3,3,3,2,4,5,4,3,4,1,3,3,4,4,3,2,2,2,3,1,3,2,4,3,3,3,4,3,4,2,4,1,2,2,3,1,6,4,1,1,1,2,1,1,1,3,1,2,1,,,-1,
R_djo2zw1hZYC9cqw,Default Response Set,Anonymous,,,75.111.143.219,0,2012-02-13 10:26:07,2012-02-13 10:35:40,1,1,1,1,1,2,3,3,1,1,4,2,4,3,4,2,5,1,4,3,5,3,4,2,4,3,3,3,4,3,4,3,4,4,4,3,3,4,3,3,4,3,4,4,1,2,1,1,2,1,4,1,4,4,3,4,4,2,1,4,4,2,4,2,4,2,3,4,1,2,1,5,3,1,1,1,2,1,1,2,1,1,2,1,,,-1,
R_e5RUrJgPfapLPW4,Default Response Set,Anonymous,,,129.118.22.93,0,2012-02-08 10:34:05,2012-02-08 10:41:26,0,1,1,1,1,2,2,3,1,1,3,4,4,2,4,2,4,2,4,2,4,4,3,4,2,5,3,4,3,4,3,4,3,4,3,4,4,2,1,1,4,2,3,3,1,2,1,2,2,2,4,1,3,4,2,3,4,2,3,4,4,2,4,3,4,2,3,4,1,2,,,,,,,,,,,,,,,,,-1,
R_bveDpEfBuFoEZAE,Default Response Set,Anonymous,,,118.181.135.238,0,2012-02-08 11:07:45,2012-02-08 11:09:21,0,1,1,1,2,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_a5WtItYyNBartJO,Default Response Set,Anonymous,,,129.118.119.152,0,2012-02-08 10:32:36,2012-02-08 11:17:46,0,1,1,1,2,3,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_9MNfJGt02Xx66fW,Default Response Set,Anonymous,,,129.118.243.117,0,2012-02-08 11:22:05,2012-02-08 11:22:59,0,1,1,1,2,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_3XfIJSGbgT8M7pG,Default Response Set,Anonymous,,,168.223.6.238,0,2012-02-08 10:43:56,2012-02-08 12:01:00,0,1,1,1,2,4,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_6z0QmYeXJsab2Pa,Default Response Set,Anonymous,,,144.96.164.231,0,2012-02-08 14:37:32,2012-02-08 14:37:37,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_aeDg5RVKmJTyimo,Default Response Set,Anonymous,,,117.136.6.69,0,2012-02-08 18:40:06,2012-02-08 18:40:32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_4ZNAps9bsJlx6E4,Default Response Set,Anonymous,,,75.110.200.81,0,2012-02-09 20:00:12,2012-02-09 20:03:04,0,1,1,1,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_0jOTUicRa3RnSss,Default Response Set,Anonymous,,,129.118.227.23,0,2012-02-24 11:14:18,2012-02-24 11:24:48,1,1,1,1,1,2,1,3,1,1,3,3,4,4,2,3,5,3,3,3,4,4,3,3,2,4,2,4,4,4,4,5,4,4,4,3,4,3,4,4,4,3,3,3,1,1,1,1,1,1,3,1,4,4,1,2,4,1,1,3,2,2,3,1,3,3,3,4,1,2,1,6,2,1,1,1,3,2,1,3,1,2,3,1,,,-1,
R_8x05lXZ8ZQhdppq,Default Response Set,Anonymous,,,72.179.157.52,0,2012-02-24 11:26:10,2012-02-24 11:36:48,1,1,1,1,1,2,3,3,1,1,4,4,4,4,4,2,4,3,4,2,4,2,2,4,4,2,2,4,4,4,4,4,4,4,3,4,4,2,2,2,2,4,4,2,1,2,2,2,1,3,4,1,4,4,2,3,4,3,4,4,4,2,3,4,4,3,3,4,2,2,1,6,2,1,1,2,2,2,1,2,1,2,2,1,,,-1,
R_0PqG7pTB4Gi5Ncg,Default Response Set,Anonymous,,,129.118.18.80,0,2012-02-24 11:38:21,2012-02-24 11:44:59,1,1,1,1,1,3,3,3,1,1,4,3,5,1,,,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1,1,2,2,3,3,3,3,1,2,2,2,2,2,4,1,4,4,2,2,4,2,3,4,3,2,4,2,3,2,3,3,3,2,1,,1,1,2,2,2,2,2,2,2,2,1,1,,,-1,
R_7PeNygkZULPtiMA,Default Response Set,Anonymous,,,129.118.108.101,0,2012-02-24 11:39:03,2012-02-24 11:50:34,1,1,1,1,1,3,3,3,1,1,3,3,5,1,4,1,5,1,4,2,5,1,3,3,3,3,3,3,5,2,5,2,5,2,5,2,3,3,5,2,3,3,5,2,1,4,4,4,2,4,3,2,3,3,3,1,4,3,4,2,3,3,4,4,2,4,3,3,2,2,1,6,1,1,1,1,1,2,1,1,2,2,1,2,,,-1,
R_eY99mWqGM9Zb0zy,Default Response Set,Anonymous,,,129.118.212.87,0,2012-02-24 11:49:20,2012-02-24 11:55:48,1,1,1,1,1,1,2,3,1,1,3,4,5,1,5,2,5,1,5,1,5,4,4,4,4,4,5,3,5,3,5,4,5,4,4,3,5,1,2,2,4,2,4,3,1,3,3,3,3,3,2,1,2,4,3,2,3,2,3,3,4,2,3,3,4,3,3,3,1,2,1,4,2,1,1,2,1,1,1,2,2,3,1,3,,,-1,
R_czEaOWZyN4RCqry,Default Response Set,Anonymous,,,129.118.224.42,0,2012-02-24 11:56:46,2012-02-24 12:06:06,1,1,1,1,2,2,2,2,1,1,3,3,3,4,2,5,3,3,2,5,5,5,2,4,5,2,1,5,3,4,1,5,3,3,5,2,3,3,1,4,2,4,3,3,1,4,1,4,4,1,3,1,4,4,3,2,2,3,3,3,2,3,4,4,2,4,1,2,1,1,1,4,1,1,1,1,4,3,1,1,3,3,1,1,,,-1,
R_e8Ni32SzWXiO7ru,Default Response Set,Anonymous,,,129.118.122.48,0,2012-02-24 12:03:41,2012-02-24 12:12:45,1,1,1,1,1,2,4,2,1,1,3,3,4,4,4,2,4,3,4,3,4,4,4,2,4,3,2,4,4,3,4,4,4,3,4,3,3,3,4,4,4,3,4,4,1,2,1,3,2,3,3,1,4,3,2,3,4,3,2,1,4,2,3,2,3,3,3,4,1,1,1,4,1,1,1,2,1,4,1,2,2,4,1,1,,,-1,
R_24tDTaRGeVyDXA8,Default Response Set,Anonymous,,,129.118.86.83,0,2012-02-24 12:01:58,2012-02-24 12:16:14,1,1,1,1,2,2,3,3,1,1,4,3,5,3,4,4,5,1,4,4,4,3,3,2,4,4,3,5,4,4,4,3,4,5,4,2,4,2,3,3,4,5,4,4,1,2,1,3,2,2,4,1,4,4,2,2,3,1,1,4,4,2,4,1,4,3,3,4,1,1,1,5,4,1,1,1,2,1,1,2,2,3,2,1,,,-1,
R_0OmXhJnMY1eCErW,Default Response Set,Anonymous,,,75.111.198.164,0,2012-02-24 11:56:57,2012-02-24 12:21:27,1,1,1,1,1,2,4,3,1,1,2,4,5,1,2,4,4,2,4,2,5,2,2,4,4,2,2,4,3,3,2,4,3,3,2,4,4,2,2,2,4,2,4,4,1,2,1,2,2,1,4,1,4,4,2,4,4,2,2,4,4,2,4,2,4,2,4,4,1,2,1,6,6,1,1,1,1,1,1,2,1,2,1,1,,,-1,
R_d6JnIfD6SoyGmdC,Default Response Set,Anonymous,,,129.118.224.1,0,2012-02-24 12:25:36,2012-02-24 12:31:58,1,1,1,1,2,2,4,3,1,1,,,,,,,,,,,5,1,4,2,5,5,1,5,3,5,5,5,4,4,4,3,3,1,1,1,4,2,4,3,1,3,3,3,3,3,3,1,3,4,1,3,2,2,3,3,3,3,4,3,3,3,3,2,2,2,1,6,1,1,2,2,1,1,1,1,2,3,1,1,,,-1,
R_9YaW752a5Prx8KE,Default Response Set,Anonymous,,,129.118.141.183,0,2012-02-24 12:33:47,2012-02-24 12:42:22,1,1,1,1,1,2,2,3,1,1,3,3,5,2,3,3,3,4,3,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,3,2,4,1,4,4,2,2,4,3,3,4,4,2,3,2,4,2,3,4,2,2,1,6,6,2,1,1,1,4,3,2,3,3,3,2,,,-1,
R_9uA7IWzPsdeFVLS,Default Response Set,Anonymous,,,75.110.206.67,0,2012-02-24 12:30:56,2012-02-24 12:44:15,1,1,1,1,1,2,2,3,1,1,3,3,5,1,3,3,3,3,4,2,2,3,3,3,5,4,4,4,4,4,3,,4,4,1,3,,,,,3,3,1,1,1,2,1,1,1,1,2,1,4,4,2,3,3,1,3,3,3,3,3,2,4,2,3,4,2,1,1,6,7,1,1,1,1,1,1,2,1,2,3,1,,,-1,
R_0J4U0SmY46eZRZy,Default Response Set,Anonymous,,,129.118.138.244,0,2012-02-24 11:34:43,2012-02-24 12:49:46,1,1,1,1,2,2,3,3,1,1,5,3,5,4,4,2,5,2,5,3,4,2,2,3,5,1,4,4,5,3,5,3,5,3,4,2,5,1,1,1,4,3,4,2,1,3,2,3,3,2,,1,4,4,2,3,3,2,3,3,4,2,3,3,3,3,2,3,2,3,1,5,1,1,1,1,,1,1,2,3,3,1,1,,,-1,
R_7NIPveKmISpquiw,Default Response Set,Anonymous,,,129.118.212.27,0,2012-02-24 12:37:57,2012-02-24 12:52:02,1,1,1,1,1,2,3,3,1,1,2,4,1,4,1,3,2,4,3,3,4,2,2,4,4,2,2,4,3,3,4,2,4,3,4,2,4,2,2,2,3,3,4,3,1,2,2,2,1,2,3,1,4,4,,2,4,2,2,3,3,2,3,2,3,2,3,4,2,1,1,5,1,1,1,2,2,2,1,2,2,2,1,2,,,-1,
R_7NCrsKBeuxbOY6g,Default Response Set,Anonymous,,,129.118.34.35,0,2012-02-24 13:04:50,2012-02-24 13:12:45,1,1,1,1,1,2,2,3,1,1,4,3,4,4,4,2,4,2,4,3,4,4,3,4,4,4,3,4,3,3,3,3,4,4,4,3,4,2,3,3,4,4,4,4,1,3,2,2,1,2,3,1,3,4,3,2,4,2,2,3,2,2,3,3,3,2,3,4,2,2,1,5,4,1,2,1,2,2,1,1,2,1,1,1,,,-1,
R_bqiNvEmAibwKaS8,Default Response Set,Anonymous,,,129.118.212.169,0,2012-02-24 13:07:36,2012-02-24 13:16:57,1,1,1,1,2,2,3,,1,1,3,4,4,4,3,3,4,3,4,3,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,2,4,3,3,3,1,3,2,3,2,2,3,1,2,3,2,2,3,2,2,2,3,2,3,3,3,2,3,3,1,2,1,5,2,1,2,2,2,2,1,2,3,3,2,2,,,-1,
R_0exGRlVDT8XxD5W,Default Response Set,Anonymous,,,129.118.141.152,0,2012-02-24 13:14:57,2012-02-24 13:38:10,1,1,1,1,1,1,3,3,1,1,4,3,4,3,4,2,4,3,4,3,4,4,4,3,4,4,4,3,4,2,4,4,4,2,4,3,2,3,3,3,4,3,3,3,1,3,3,3,3,3,3,3,3,4,2,3,4,4,3,4,3,4,4,3,3,3,3,3,3,3,1,4,3,1,1,1,1,1,1,2,1,1,1,1,,,-1,
R_eS6UxadIvvJUHuk,Default Response Set,Anonymous,,,129.118.243.104,0,2012-02-24 13:40:58,2012-02-24 13:51:00,1,1,1,1,1,2,2,2,1,1,2,4,2,4,3,2,3,3,2,4,4,3,2,4,3,3,2,4,3,3,3,3,4,4,4,3,2,4,2,4,3,3,4,4,1,3,3,3,3,3,3,1,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,1,2,1,6,2,3,1,2,2,2,1,1,2,3,3,2,,,-1,
R_3kOr7BxUNrM1T5a,Default Response Set,Anonymous,,,129.118.213.73,0,2012-02-24 14:07:09,2012-02-24 14:16:32,1,1,1,1,2,2,3,3,1,1,3,3,4,4,3,3,4,3,3,4,4,2,3,3,4,4,4,2,4,4,3,4,3,3,3,3,5,2,,,3,3,4,3,1,2,3,3,2,3,3,1,4,4,1,2,3,1,2,2,4,1,2,1,4,4,,3,1,1,1,6,1,1,2,3,4,1,1,1,1,2,1,1,,,-1,
R_5vu97zrGYXrNCvi,Default Response Set,Anonymous,,,129.118.143.66,0,2012-02-24 14:23:42,2012-02-24 14:39:48,1,1,1,1,1,3,3,3,1,1,3,4,4,4,2,3,5,3,4,4,4,4,3,3,2,4,3,4,4,4,4,4,3,3,2,4,2,4,4,3,4,4,3,4,1,2,1,1,3,1,4,1,4,4,2,4,4,2,,2,4,2,4,3,4,2,4,4,1,1,1,6,3,1,1,4,2,1,1,1,2,3,3,1,,,-1,
R_4N1BpRBp82hOgcc,Default Response Set,Anonymous,,,129.118.2.73,0,2012-02-24 14:51:39,2012-02-24 14:54:21,1,1,1,1,2,2,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,4,4,3,5,,,,,,,-1,
R_250lSoq0o94GaZS,Default Response Set,Anonymous,,,129.118.18.229,0,2012-02-24 15:12:43,2012-02-24 15:18:54,1,1,1,1,2,2,3,3,1,1,3,3,4,3,4,3,4,2,3,3,4,3,3,3,3,4,2,4,4,3,3,3,4,3,4,3,3,3,3,3,4,3,4,2,1,3,2,2,3,3,3,1,3,3,2,3,3,2,2,3,3,2,4,3,3,1,3,4,1,2,1,6,7,1,3,3,3,2,1,2,2,2,2,1,,,-1,
